#timestamp	milliseconds	requestsNumber	Failures	All_ms	min_ms	max_ms	avg_ms
2018-11-29T12:33:50.852+0200	1543487630852	9	0.0	1332	957	1327	1177.4444444444443
2018-11-29T12:33:52.185+0200	1543487632185	9	0.0	1217	877	1215	1070.888888888889
2018-11-29T12:33:53.403+0200	1543487633403	9	0.0	1374	1031	1369	1211.0
2018-11-29T12:33:54.778+0200	1543487634778	9	0.0	2003	359	2000	1505.3333333333333
2018-11-29T12:33:56.782+0200	1543487636782	9	0.0	1905	1247	1901	1652.111111111111
2018-11-29T12:33:58.687+0200	1543487638687	9	0.0	2067	1515	2064	1908.2222222222222
2018-11-29T12:34:00.755+0200	1543487640755	9	0.0	1509	1191	1509	1338.111111111111
2018-11-29T12:34:02.265+0200	1543487642265	9	0.0	1670	1162	1669	1455.4444444444443
2018-11-29T12:34:03.936+0200	1543487643936	9	0.0	1653	775	1653	1224.2222222222222
2018-11-29T12:34:05.590+0200	1543487645590	9	0.0	1411	1171	1409	1272.0
2018-11-29T12:34:07.002+0200	1543487647002	9	0.0	1373	1027	1372	1214.6666666666667
2018-11-29T12:34:08.377+0200	1543487648377	10	0.0	1614	1031	1613	1394.1
2018-11-29T12:34:09.991+0200	1543487649991	10	0.0	2005	1618	2003	1764.5
2018-11-29T12:34:11.998+0200	1543487651998	10	0.0	1477	1060	1474	1256.1
2018-11-29T12:34:13.476+0200	1543487653476	10	0.0	1994	1176	1991	1744.4
2018-11-29T12:34:15.471+0200	1543487655471	10	0.0	31945	1057	31943	4261.9
2018-11-29T12:34:47.417+0200	1543487687417	10	0.0	1580	1018	1579	1293.0
2018-11-29T12:34:48.998+0200	1543487688998	10	0.0	1561	1156	1559	1363.9
2018-11-29T12:34:50.561+0200	1543487690561	10	0.0	1577	1185	1574	1414.9
2018-11-29T12:34:52.140+0200	1543487692140	10	0.0	1825	494	1820	1283.3
2018-11-29T12:34:53.965+0200	1543487693965	10	0.0	1461	1030	1460	1236.0
2018-11-29T12:34:55.427+0200	1543487695427	10	0.0	1595	1257	1591	1411.9
2018-11-29T12:34:57.023+0200	1543487697023	10	0.0	1574	1163	1572	1400.2
2018-11-29T12:34:58.598+0200	1543487698598	10	0.0	1586	1176	1583	1387.1
2018-11-29T12:35:00.186+0200	1543487700186	10	0.0	1741	615	1739	1265.2
2018-11-29T12:35:01.928+0200	1543487701928	10	0.0	1579	1109	1576	1399.2
2018-11-29T12:35:03.508+0200	1543487703508	10	0.0	1554	1156	1553	1379.5
2018-11-29T12:35:05.062+0200	1543487705062	10	0.0	1623	1362	1621	1470.4
2018-11-29T12:35:06.686+0200	1543487706686	10	0.0	1397	423	1397	1156.5
2018-11-29T12:35:08.084+0200	1543487708084	10	0.0	1574	834	1572	1305.4
2018-11-29T12:35:09.658+0200	1543487709658	10	0.0	1865	1187	1862	1636.3
2018-11-29T12:35:11.524+0200	1543487711524	11	0.0	1619	786	1615	1297.909090909091
2018-11-29T12:35:13.144+0200	1543487713144	11	0.0	1775	1230	1770	1476.5454545454545
2018-11-29T12:35:14.920+0200	1543487714920	11	0.0	31628	1036	31623	4052.7272727272725
2018-11-29T12:35:46.549+0200	1543487746549	11	0.0	1869	899	1868	1468.4545454545455
2018-11-29T12:35:48.419+0200	1543487748419	11	0.0	1572	1104	1570	1352.7272727272727
2018-11-29T12:35:49.992+0200	1543487749992	11	0.0	1507	999	1503	1299.7272727272727
2018-11-29T12:35:51.500+0200	1543487751500	11	0.0	1657	1242	1656	1444.909090909091
2018-11-29T12:35:53.158+0200	1543487753158	11	0.0	1572	1044	1572	1313.4545454545455
2018-11-29T12:35:54.732+0200	1543487754732	11	0.0	1585	1232	1580	1403.090909090909
2018-11-29T12:35:56.318+0200	1543487756318	11	0.0	1897	912	1896	1532.3636363636363
2018-11-29T12:35:58.216+0200	1543487758216	11	0.0	1841	1193	1838	1572.0
2018-11-29T12:36:00.058+0200	1543487760058	11	0.0	1553	1049	1551	1344.090909090909
2018-11-29T12:36:01.612+0200	1543487761612	11	0.0	1712	970	1711	1417.3636363636363
2018-11-29T12:36:03.325+0200	1543487763325	11	0.0	1748	1057	1744	1539.3636363636363
2018-11-29T12:36:05.073+0200	1543487765073	11	0.0	1621	1209	1620	1416.909090909091
2018-11-29T12:36:06.695+0200	1543487766695	11	0.0	1802	1184	1799	1515.2727272727273
2018-11-29T12:36:08.498+0200	1543487768498	11	0.0	1747	1356	1744	1550.3636363636363
2018-11-29T12:36:10.246+0200	1543487770246	11	0.0	1652	1109	1651	1452.0
2018-11-29T12:36:11.899+0200	1543487771899	11	0.0	1599	1146	1594	1377.909090909091
2018-11-29T12:36:13.499+0200	1543487773499	11	0.0	1703	1209	1701	1508.8181818181818
2018-11-29T12:36:15.203+0200	1543487775203	12	0.0	1663	965	1661	1415.5
2018-11-29T12:36:16.866+0200	1543487776866	12	0.0	1755	1225	1752	1497.4166666666667
2018-11-29T12:36:18.622+0200	1543487778622	12	0.0	1766	1243	1733	1499.75
2018-11-29T12:36:20.388+0200	1543487780388	12	0.0	1867	1220	1865	1621.6666666666667
